send_time, delay
1701336654.3519187, 0.0
1701336654.3678756, 0.0
1701336654.383835, 0.0
1701336654.3997908, 0.0
1701336654.415749, 0.0
1701336654.431705, 0.0
1701336654.4476614, 0.0
1701336654.464627, 0.0
1701336654.4785793, 0.0
1701336654.4955342, 0.0
1701336654.5124965, 0.0
1701336654.5354273, 0.0
1701336654.5543766, 0.0
1701336654.5583668, 0.0
1701336654.5743248, 0.0
1701336654.5962703, 0.0
1701336654.622196, 0.0009965896606445312
1701336654.6381538, 0.0
1701336654.6541102, 0.0
1701336654.6700692, 0.0
1701336654.6860244, 0.0
1701336654.7019825, 0.0
1701336654.7179399, 0.0
1701336654.733898, 0.0
1701336654.749855, 0.0
1701336654.7658145, 0.0
1701336654.782767, 0.0009980201721191406
1701336654.7977312, 0.0
1701336654.8136833, 0.0
1701336654.8306382, 0.0010044574737548828
1701336654.8466122, 0.00098419189453125
1701336654.8615634, 0.0
1701336654.8785188, 0.000989675521850586
1701336654.8954654, 0.0
1701336654.908431, 0.0
1701336654.9243872, 0.0
1701336654.9403446, 0.0
1701336654.956302, 0.0
1701336654.972259, 0.0
1701336654.987219, 0.0
1701336655.0031765, 0.0
1701336655.0191338, 0.0
1701336655.0350912, 0.0
1701336655.050051, 0.0
1701336655.0650113, 0.0
1701336655.0799716, 0.0
1701336655.0959294, 0.0
1701336655.111886, 0.0
1701336655.1278474, 0.0
1701336655.1438015, 0.0010027885437011719
1701336655.1597607, 0.0
1701336655.1757512, 0.0
1701336655.1916723, 0.0
1701336655.207666, 0.0
1701336655.2236247, 0.0
1701336655.2395444, 0.0
1701336655.2545078, 0.0
1701336655.2704659, 0.0
1701336655.2864218, 0.0
1701336655.303375, 0.005983591079711914
1701336655.3342922, 0.0009970664978027344
1701336655.3492544, 0.0
1701336655.3642151, 0.0
1701336655.3801718, 0.0
1701336655.4011178, 0.0
1701336655.4120915, 0.0
1701336655.430036, 0.0
1701336655.4439986, 0.0
1701336655.4609542, 0.0009970664978027344
1701336655.4759145, 0.0
1701336655.4918723, 0.0
1701336655.5078292, 0.0
1701336655.5227873, 0.0
1701336655.5387456, 0.0
1701336655.5547028, 0.0
1701336655.5706599, 0.0
1701336655.5866191, 0.0
1701336655.6025748, 0.0
1701336655.617536, 0.0
1701336655.632496, 0.0
1701336655.6484616, 0.0
1701336655.6654096, 0.0
1701336655.680366, 0.0
1701336655.6983202, 0.0010037422180175781
1701336655.713283, 0.0
1701336655.7282395, 0.0
1701336655.7471886, 0.0
1701336655.7621493, 0.0
1701336655.7761123, 0.0009965896606445312
1701336655.7920675, 0.0
1701336655.807028, 0.0
1701336655.8219876, 0.0
1701336655.837947, 0.0
1701336655.8539023, 0.0
1701336655.8698592, 0.0
1701336655.8858168, 0.0
1701336655.901775, 0.0
1701336655.9177406, 0.0
1701336655.933692, 0.0
1701336655.949654, 0.0
